ID,official_name,nahuatl,type,subchapter
ID001,Aca-capac-quilitl,Aca-capac-quilitl,plant,acacapac-quilitl 9e; acapac-quilitl 9e
ID002,Acatl,Acatl,plant,
ID003,A-chilli,A-chilli,plant,8j
ID004,Acoco-xihuitl,Acocotli; Acoco-xihuitl,plant,acoco-xihuitl 10a
ID005,Acxoyatl,Acxoyatl,plant,10b
ID006,Ahuatl,Ahuatl,plant,8l
ID007,Ahquiztli,Ahquiztli,plant,a-quiztli 9b
ID008,A-huehuetl,A-huehuetl,plant,
ID009,Ahuiyac-xihuitl,Ahuiyac-xihuitl,plant,8k; 11b
ID010,Ahhuiyac-tlatlanquaye,Ahhuiyac-tlatlanquaye,plant,ahuiyac tlatlanquaye 9l
ID011,Amatl,Amatl,plant,
ID012,Xiuh-amolli,Xiuh-amolli,plant,1e
ID013,Amoxtli,Amoxtli,plant,
ID014,A-quahuitl,A-quahuitl,plant,6d; 9g; 9i
ID015,A-toch-ietl,A-toch-ietl,plant,4a
ID016,Atoya-xocotl,Atoya-xocotl,plant,1d; 10k
ID017,A-xocotl,A-xocotl,plant,8l; 9f; 9f; 10k
ID018,Ayauh-quahuitl,Ayauh-quahuitl,plant,8f; 8l; 9f; 9q
ID019,Ayauhtli,Ayauhtli,plant,7b
ID020,A-yecotli,A-yecotli,plant,
ID021,A-illin,A-illin,plant,a-ylin 8l
ID022,Ylin,Ylin,plant,7k; 9j; 9o
ID023,Tepe-ylin,Tepe-ylin,plant,8l
ID024,Quetzal-ylin,Quetzal-ylin,plant,7k; 7l; 8l; 9i; 9m; 13a
ID025,Ayo-nelhuatl,Ayo-nelhuatl,plant,11c
ID026,A-zaca-tzontli,A-zaca-tzontli,plant,
ID027,Azcapanixua-tlazol-patli,Azcapanixua-tlazol-patli,plant,
ID028,Eca-patli,Eca-patli,plant,1a; 5h; 6d; 6e; xiuh-ecapatli 8j; eca-patli 8j; xiuh-ecapatli 8k; 8l; xiuh-ecapatli 9b; 9p; xiuh-ecapatli 10b; xiuh-ecapatli 10f; xiuh-ecapatli 12a
ID029,Elo-capolin,Elo-capolin,plant,
ID030,Elo-xochitl,Elo-xochitl,plant,8l
ID031,Xiuh-elo-quilitl,Xiuh-elo-quilitl,plant,xiuh-eloquilitl 11c
ID032,Elo-zacatl,Elo-zacatl,plant,7l; 11d
ID033,Ez-patli,Ez-patli,plant,
ID034,Ez-quahuitl,Ez-quahuitl,plant,
ID035,Teo-ezquahuitl,Teo-ezquahuitl,plant,
ID036,Iztac huitz-quahuitl,Iztac huitz-quahuitl,plant,11c
ID037,Huitz-quahuitl,Huitz-quahuitl,plant,8l; 9d
ID038,Iztac oco-xochitl,Iztac oco-xochitl,plant,iztac-oco-xochitl 7l; iztac-oco-xochitl 8e; oco-xochitl 9b; oco-xochitl 9b; iztac-oco-xochitl 9b; iztac-oco-xochitl 9e; iztac-oco-xochitl 9q
ID039,Iztac-patli,Iztac-patli,plant,4b
